243,BB-84,Euonymus atropurpureus 
244,BB-84,Ostrya virginiana 
245,BB-84,Smilacina racemosa 
2856,BB-84,Ostrya virginiana 
3957,BB-84,Acer nigrum
3958,BB-84,Acer nigrum
3959,BB-84,Acer nigrum
3960,BB-84,Acer nigrum
3961,BB-84,Ostrya virginiana
3962,BB-84,Quercus rubra 
3963,BB-84,Quercus rubra 
3964,BB-84,Quercus rubra 
3965,BB-84,Quercus rubra 
3966,BB-84,Tilia americana 
246,BB-92,Geum canadense 
247,BB-92,Lonicera prolifera  
248,BB-92,Ostrya virginiana 
249,BB-92,Parthenocissus quinquefolia 
250,BB-92,Quercus alba 
251,BB-92,Sonchus species
252,BB-92,Taraxacum officinale 
2857,BB-92,Ostrya virginiana 
2858,BB-92,Rhamnus cathartica 
2859,BB-92,Viburnum prunifolium  
3967,BB-92,Ostrya virginiana
3968,BB-92,Quercus alba 
3969,BB-92,Quercus alba 
253,C-105,Agrimonia gryposepala
254,C-105,Convolvulus arvensis
255,C-105,Cornus racemosa
256,C-105,Fragaria virginiana
257,C-105,Parthenocissus quinquefolia
258,C-105,Physalis virginiana
259,C-105,Poa pratensis
260,C-105,Rhamnus cathartica
261,C-105,Solidago canadensis
2860,C-105,NONE
3970,C-105,NONE
262,C-111,Lonicera tatarica
263,C-111,Parthenocissus quinquefolia
2861,C-111,Crataegus species
2862,C-111,Lonicera tatarica
3971,C-111,Quercus rubra
3972,C-111,Quercus rubra
3973,C-111,Quercus rubra
3974,C-111,Quercus rubra
3975,C-111,Quercus rubra
3976,C-111,Rhamnus cathartica
3977,C-111,Unidentified species
264,C-120,Rhamnus cathartica
265,C-120,Rosa multiflora
2863,C-120,Lonicera maackii
2864,C-120,Rhamnus cathartica
3978,C-120,Fraxinus americana
3979,C-120,Juglans cinerea
3980,C-120,Quercus rubra
3981,C-120,Quercus rubra
3982,C-120,Quercus rubra
3983,C-120,Rhamnus cathartica
3984,C-120,Rhamnus cathartica
3985,C-120,Rhamnus cathartica
3986,C-120,Tilia americana
3987,C-120,Tilia americana
3988,C-120,Unidentified species
3989,C-120,Unidentified species
266,C-123,Alliaria petiolata
267,C-123,Aster lateriflorus
268,C-123,Circaea lutetiana canadensis
269,C-123,Geum canadense
270,C-123,Hackelia virginiana
271,C-123,Ulmus americana
2865,C-123,NONE
3990,C-123,Fraxinus americana
3991,C-123,Ostrya virginiana
3992,C-123,Ostrya virginiana
3993,C-123,Ostrya virginiana
3994,C-123,Ostrya virginiana
3995,C-123,Ostrya virginiana
3996,C-123,Ostrya virginiana
3997,C-123,Ostrya virginiana
3998,C-123,Ostrya virginiana
3999,C-123,Ostrya virginiana
4000,C-123,Ostrya virginiana
4001,C-123,Ostrya virginiana
4002,C-123,Quercus alba
4003,C-123,Tilia americana
272,C-125,Aster lateriflorus
273,C-125,Aster sagittifolius drummondii
274,C-125,Circaea lutetiana canadensis
275,C-125,Carex blanda
276,C-125,Carex rosea
277,C-125,Eupatorium rugosum
278,C-125,Geranium maculatum
279,C-125,Geum canadense
280,C-125,Polemonium reptans
281,C-125,Rhus radicans
282,C-125,Rubus allegheniensis
283,C-125,Rubus occidentalis
284,C-125,Scrophularia species
285,C-125,Ulmus americana
2866,C-125,Fraxinus americana
2867,C-125,Rubus allegheniensis
4004,C-125,Ostrya virginiana
4005,C-125,Ostrya virginiana
4006,C-125,Prunus serotina
4007,C-125,Quercus alba
4008,C-125,Quercus alba
4009,C-125,Quercus species
407,C-127,Allium canadense
408,C-127,Campanula americana
409,C-127,Circaea lutetiana canadensis
410,C-127,Geum canadense
411,C-127,Hackelia virginiana
412,C-127,Impatiens pallida
413,C-127,Polygonum virginianum
414,C-127,Smilacina racemosa
415,C-127,Ulmus americana
2893,C-127,Ostrya virginiana
4165,C-127,Juglans nigra
4166,C-127,Quercus alba
4167,C-127,Quercus rubra
4168,C-127,Quercus rubra
4169,C-127,Tilia americana
4170,C-127,Tilia americana
4171,C-127,Tilia americana
4172,C-127,Tilia americana
286,C-136,Parthenocissus quinquefolia
287,C-136,Rhamnus cathartica
288,C-136,Unidentified species
289,C-136,Unidentified species
2868,C-136,Lonicera maackii
2869,C-136,Rhamnus cathartica
2870,C-136,Ulmus americana
4010,C-136,Carya cordiformis
4011,C-136,Cercis canadensis
4012,C-136,Cercis canadensis
4013,C-136,Cercis canadensis
4014,C-136,Cercis canadensis
4015,C-136,Cercis canadensis
4016,C-136,Fraxinus americana
4017,C-136,Fraxinus americana
4018,C-136,Fraxinus americana
4019,C-136,Fraxinus americana
4020,C-136,Juglans nigra
4021,C-136,Juglans nigra
299,CC-106,Achillea millefolium
300,CC-106,Agrostis alba 
301,CC-106,Agropyron repens
302,CC-106,Crataegus species
303,CC-106,Carex gravida
304,CC-106,Dactylis glomerata
305,CC-106,Danthonia spicata
306,CC-106,Fragaria virginiana
307,CC-106,Lonicera maackii
308,CC-106,Parthenocissus quinquefolia
309,CC-106,Phleum pratense
310,CC-106,Plantago lanceolata
311,CC-106,Poa pratensis
312,CC-106,Potentilla simplex
313,CC-106,Rhamnus cathartica
2872,CC-106,NONE
4023,CC-106,NONE
314,CC-109,Alliaria petiolata
315,CC-109,Aster shortii
316,CC-109,Circaea lutetiana canadensis
317,CC-109,Galium species
318,CC-109,Geum canadense
319,CC-109,Parthenocissus quinquefolia
320,CC-109,Quercus rubra
321,CC-109,Rhamnus cathartica
322,CC-109,Rhus radicans
323,CC-109,Smilacina racemosa
324,CC-109,Solidago ulmifolia
325,CC-109,Taraxacum officinale
2873,CC-109,NONE
4024,CC-109,Fraxinus americana
4025,CC-109,Prunus serotina
4026,CC-109,Prunus serotina
4027,CC-109,Quercus alba
4028,CC-109,Quercus alba
4029,CC-109,Quercus alba
4030,CC-109,Quercus alba
4031,CC-109,Quercus alba
4032,CC-109,Tilia americana
4033,CC-109,Ulmus americana
4034,CC-109,Ulmus americana
434,CC-110,Alliaria petiolata
435,CC-110,Aster species
436,CC-110,Aster lateriflorus
437,CC-110,Circaea lutetiana canadensis
438,CC-110,Cornus racemosa
439,CC-110,Eupatorium rugosum
440,CC-110,Fragaria virginiana
441,CC-110,Galium species
442,CC-110,Geum canadense
443,CC-110,Quercus rubra
444,CC-110,Smilacina racemosa
445,CC-110,Solidago ulmifolia
2899,CC-110,Ostrya virginiana 
4210,CC-110,Ostrya virginiana
4211,CC-110,Ostrya virginiana
4212,CC-110,Prunus serotina
4213,CC-110,Prunus serotina
4214,CC-110,Quercus alba
4215,CC-110,Quercus alba
4216,CC-110,Quercus alba
4217,CC-110,Quercus alba
4218,CC-110,Quercus rubra
