Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Arisaema dracontium,Arisaema dracontium,,1,Accepted,Arisaema dracontium,(L.) Schott,Araceae,tpl;usda;tropicos, ,
Arisaema triphyllum,Arisaema triphyllum,,1,Accepted,Arisaema triphyllum,(L.) Schott,Araceae,tpl;usda;tropicos, ,
Aruncus dioicus pubescens,Aruncus dioicus var. pubescens,,0.96,Accepted,Aruncus dioicus var. pubescens,(Rydb.) Fernald,Rosaceae,tpl;usda;tropicos, ,
Asarum canadense,Asarum canadense,,1,Accepted,Asarum canadense,L.,Aristolochiaceae,tpl;usda;tropicos, ,
Asclepias meadii,Asclepias meadii,,1,Accepted,Asclepias meadii,Torr. ex A.Gray,Apocynaceae,tpl, ,
Asclepias syriaca,Asclepias syriaca,,1,Accepted,Asclepias syriaca,L.,Apocynaceae,tpl;usda;tropicos, ,
Asclepias verticillata,Asclepias verticillata,,1,Accepted,Asclepias verticillata,L.,Apocynaceae,tpl;usda;tropicos, ,
Asimina species,Asimina,,0.9,Accepted,Asimina,,Annonaceae,tpl, ,
Asplenium species,Asplenium,,0.9,Accepted,Asplenium,,Aspleniaceae,tpl, ,
Aster lateriflorus,Aster lateriflorus,,1,Synonym,Symphyotrichum lateriflorum,(L.) ç.Lšve & D.Lšve,Asteraceae,gcc, ,urn:lsid:compositae.org:names:FABA6C06-F343-4CEC-AF2B-17DFE6A11170
Aster pilosus,Aster pilosus,,1,Synonym,Symphyotrichum pilosum,(Willd.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B8851780-07FE-4029-8726-66EFF3A4DCE4
Aster sagittifolius,Aster sagittifolius,,1,Synonym,Symphyotrichum undulatum,(L.) G.L.Nesom,Asteraceae,gcc, [Ambiguous match] ,urn:lsid:compositae.org:names:7C79C5C4-11F5-4181-B835-6FDCD6F00B62
