,Original_name,Accepted_name,
438,Solanum species,Solanum,
439,Solidago altissima,Solidago canadensis,
440,Solidago canadensis,Solidago canadensis,
441,Solidago flexicaulis,Solidago flexicaulis,
442,Solidago gigantea,Solidago gigantea,
443,Solidago graminifolia,Euthamia graminifolia,
444,Solidago sp.,Solidago,
445,Solidago species,Solidago,
446,Solidago tenuifolia,Euthamia caroliniana,
447,Solidago ulmifolia,Solidago ulmifolia,
448,Solidago. Sp.,Solidago,
449,Sonchus arvensis,Sonchus arvensis,
450,Sonchus asper,Sonchus asper,
451,Sonchus sp.,,Sonchus species
452,Sonchus species,,Sonchus species
453,Sorghastrum nutans,Sorghastrum nutans,
454,Sparganium eurycarpum,Sparganium eurycarpum,
455,Staphylea trifolia,Staphylea trifolia,
456,Stylophorum diphyllum,Stylophorum diphyllum,
457,SYMLAT,,Symphyotrichum lateriflorum
458,Symphyothrichum,Symphyotrichum,
459,Symphyotrichim lateriflorus,Symphyotrichum lateriflorum,
460,Symphyotrichum drummondii,Symphyotrichum drummondii,
461,Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,
462,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,
463,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,
464,Symphyotrichum pilosum,Symphyotrichum pilosum,
465,Symphyotrichum shortii,Symphyotrichum shortii,
466,Symphyotrichum sp.,Symphyotrichum,
467,Taraxacum officinale,Taraxacum campylodes,
468,Teucrium canadense,Teucrium canadense,
469,Thalictrum dioicum,Thalictrum dioicum,
470,Thelypteris palustris,Thelypteris confluens,
471,Tilia americana,Tilia americana,
472,Toralos sp.,Torilis,
473,Torilis japonica,Torilis japonica,
474,Toxicodendron radicans,Toxicodendron radicans,
475,Toxicondendron radicans,Toxicodendron radicans,
476,Tragopogon dubius,Tragopogon dubius,
477,Tragopogon sp.,,Tragopogon species
478,Tree species,Trema,
479,Trifolium hybridum,,Trifolium hybridum
480,Trifolium pratense,,Trifolium pratense
481,Trifolium repens,Trifolium repens,
482,Trillium grandiflorum,Trillium grandiflorum,
483,Trillium recurvatum,Trillium recurvatum,
484,Typha angustifolia,Typha angustifolia,
485,Typha latifolia,Typha latifolia,
486,Ulmus americana,Ulmus americana,
487,Ulmus pumila,Ulmus pumila,
488,Ulmus rubra,Ulmus rubra,
489,Ulmus sp.,Ulmus,
490,Ulmus species,Ulmus,
491,Unidentified,,
492,Unidentified composite,,
493,Unidentified forb,,
494,Unidentified grass,,
495,Unidentified legume,,
496,Unidentified seedling,,
497,Unidentified shrub,,
498,Unidentified sp.,,
499,Unidentified species,,
500,Unidentified species-3-leaved,,
501,Unidentified species-milky sap,,
502,Unidentified species-single leaf,,
503,Unidentified vine,,
504,Unk. composite,,
505,Unk. Composite,,
506,Unk. Forb,,
507,Unk. grass,,
508,Unk. Grass,,
509,Unk. seedling,,
510,Unk. Seedling,,
511,Unk. Seedlings,,
512,Unk. Shrub,,
513,Unk. Snag,,
514,Unk. Sp.,,
515,Unk. Vine,,
516,Unknown,,
517,Urtica dioica,Urtica dioica,
518,Uvularia grandiflora,Uvularia grandiflora,
519,Uvularia sessilifolia,Uvularia sessilifolia,
520,Verbesina alternifolia,Verbesina alternifolia,
521,Vernonia altissima,Vernonia gigantea,
522,Veronica sp.,Veronica,
523,Veronicastrum virginicum,Veronicastrum virginicum,
524,Viburnum dentatum,Viburnum dentatum,
525,Viburnum lentago,Viburnum lentago,
526,Viburnum opulus,Viburnum opulus,
527,Viburnum prunifolium,Viburnum prunifolium,
528,Viburnum rafinesquianum,Viburnum rafinesquianum,
529,Viburnum recognitum,Viburnum recognitum,
530,Viburnum sp.,Viburnum,
531,Viburnum species,Viburnum,
532,Viburnumspecies,,Viburnum species
533,Vine seedling,,
534,Vine species,,
535,Viola missouriensis,Viola sororia var. missouriensis,
536,Viola pubescens,Viola pubescens,
537,Viola sororia,Viola sororia,
538,Viola sp.,Viola,
539,Viola species,Viola,
540,Vitis riparia,Vitis vulpina,
541,Vitis sp.,Vitis,
542,Weather station,,
