"","Original_name","Accepted_name"
"253","Ranunculus ficaria","Ficaria verna"
"254","Ranunculus hispidus","Ranunculus hispidus"
"255","Ranunculus hispidus v. nitidus","Ranunculus hispidus"
"256","Ranunculus septentrionalis","Ranunculus septentrionalis"
"257","Ranunculus sp.","Ranunculus"
"258","Rhamnus cathartica","Rhamnus cathartica"
"259","Rhus radicans","Toxicodendron radicans"
"260","Ribes missouriense","Ribes missouriense"
"261","Ribes sp.","Ribes"
"262","Robinia pseudoacacia","Robinia pseudoacacia"
"263","Rosa carolina","Rosa carolina"
"264","Rosa multiflora","Rosa multiflora"
"265","Rosa sp.","Rosa"
"266","Rubes idaeus strigosus","Rubus idaeus subsp. strigosus"
"267","Rubus allegheniensis","Rubus allegheniensis"
"268","Rubus hispidus","Rubus hispidus"
"269","Rubus idaeus strigosus","Rubus idaeus subsp. strigosus"
"270","Rubus occidentalis","Rubus occidentalis"
"271","Rubus pensilvanicus","Rubus pensilvanicus"
"272","Rubus sp.","Rubus"
"273","Rudbeckia hirta","Rudbeckia hirta"
"274","Rumex crispus","Rumex crispus"
"275","Rumex sp.","Rumex"
"276","Salix sp.","Salix"
"277","Sambucus canadensis","Sambucus canadensis"
"278","Sanguinaria canadensis","Sanguinaria canadensis"
"279","Sanicula gregaria","Sanicula gregaria"
"280","Sanicula sp.","Sanicula"
"281","Schizachyrium scoparium","Schizachyrium scoparium"
"282","Scirpus atrovirens","Scirpus atrovirens"
"283","Scutellaria lateriflora","Scutellaria lateriflora"
"284","Seedling",""
"285","Seedlings",""
"286","Silphium integrifolium","Silphium integrifolium"
"287","Silphium laciniatum","Silphium laciniatum"
"288","Sium suave","Sium suave"
"289","Smilacina racemosa","Maianthemum racemosum"
"290","Smilax illinoensis","Smilax illinoensis"
"291","Smilax sp.","Smilax"
"292","Smilax tamnoides hispida","Smilax tamnoides"
"293","Solanum dulcamara","Solanum dulcamara"
"294","Solidago altissima","Solidago canadensis"
"295","Solidago canadensis","Solidago canadensis"
"296","Solidago flexicaulis","Solidago flexicaulis"
"297","Solidago gigantea","Solidago gigantea"
"298","Solidago sp.","Solidago"
"299","Solidago ulmifolia","Solidago ulmifolia"
"300","Solidago. Sp.","Solidago"
"301","Sonchus arvensis","Sonchus arvensis"
"302","Sonchus sp.",""
"303","Sparganium eurycarpum","Sparganium eurycarpum"
"304","Stylophorum diphyllum","Stylophorum diphyllum"
"305","SYMLAT",""
"306","Symphyothrichum","Symphyotrichum"
"307","Symphyotrichim lateriflorus","Symphyotrichum lateriflorum"
"308","Symphyotrichum drummondii","Symphyotrichum drummondii"
"309","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum"
"310","Symphyotrichum lateriflorum","Symphyotrichum lateriflorum"
"311","Symphyotrichum novae-angliae","Symphyotrichum novae-angliae"
"312","Symphyotrichum pilosum","Symphyotrichum pilosum"
"313","Symphyotrichum shortii","Symphyotrichum shortii"
"314","Symphyotrichum sp.","Symphyotrichum"
"315","Taraxacum officinale","Taraxacum campylodes"
"316","Teucrium canadense","Teucrium canadense"
"317","Thalictrum dioicum","Thalictrum dioicum"
"318","Thelypteris palustris","Thelypteris confluens"
"319","Tilia americana","Tilia americana"
"320","Toralos sp.","Torilis"
"321","Torilis japonica","Torilis japonica"
"322","Toxicodendron radicans","Toxicodendron radicans"
"323","Toxicondendron radicans","Toxicodendron radicans"
"324","Tragopogon sp.",""
"325","Trifolium pratense",""
"326","Trifolium repens","Trifolium repens"
"327","Trillium grandiflorum","Trillium grandiflorum"
"328","Trillium recurvatum","Trillium recurvatum"
"329","Typha latifolia","Typha latifolia"
"330","Ulmus americana","Ulmus americana"
"331","Ulmus pumila","Ulmus pumila"
"332","Ulmus rubra","Ulmus rubra"
"333","Ulmus sp.","Ulmus"
"334","Unidentified",""
"335","Unidentified composite",""
"336","Unidentified forb",""
"337","Unidentified grass",""
"338","Unidentified legume",""
"339","Unidentified seedling",""
"340","Unidentified shrub",""
"341","Unidentified sp.",""
"342","Unidentified vine",""
"343","Unk. composite",""
"344","Unk. Composite",""
"345","Unk. Forb",""
"346","Unk. grass",""
"347","Unk. Grass",""
"348","Unk. seedling",""
"349","Unk. Seedling",""
"350","Unk. Seedlings",""
"351","Unk. Shrub",""
"352","Unk. Snag",""
"353","Unk. Sp.",""
"354","Unk. Vine",""
"355","Unknown",""
"356","Urtica dioica","Urtica dioica"
"357","Uvularia grandiflora","Uvularia grandiflora"
"358","Verbesina alternifolia","Verbesina alternifolia"
"359","Vernonia altissima","Vernonia gigantea"
"360","Veronica sp.","Veronica"
"361","Veronicastrum virginicum","Veronicastrum virginicum"
"362","Viburnum dentatum","Viburnum dentatum"
"363","Viburnum lentago","Viburnum lentago"
"364","Viburnum opulus","Viburnum opulus"
"365","Viburnum prunifolium","Viburnum prunifolium"
"366","Viburnum sp.","Viburnum"
"367","Vine seedling",""
"368","Viola missouriensis","Viola sororia var. missouriensis"
"369","Viola pubescens","Viola pubescens"
"370","Viola sororia","Viola sororia"
"371","Viola sp.","Viola"
"372","Vitis riparia","Vitis vulpina"
"373","Vitis sp.","Vitis"
"374","Weather station",""
